ID,CLASSIFICATION CODE
200820,102;105
200822,108
200831,101;102;103;104;105;107;108
200839,101
200842,108
200843,101;102;103;117
200847,101
200849,105
200856,102;105
200869,101;102;103;104;105;107;110;116
200895,101
200900,101
200902,102;105
200905,103
200913,105;108
200936,105
200937,105
200938,105
200939,105
200947,105
200951,102;103;104;105
200956,113
200969,101;105
200971,105;108
200977,105
200991,101
201000,101
201001,105
201021,101;104;105
201024,103
201025,105
201031,101;105
201032,101
201038,102;107
201041,112
201045,104
201046,101;108;112
201048,102;105
201073,101;102;103;105;108;110;116
201105,103
201117,101;105
201135,102
201138,101;104;105
201157,101;105
201161,101;104;105;107
201170,101
201174,101;108;110
201201,103
201208,102;105;108
201214,101;105
201219,101;105
201220,101;105
201235,102
201238,101;102
201245,102;103;104;111
201248,101;108;112;117
201251,105
201255,101;105
201257,101
201261,101;105;107
201269,112
201276,103
201277,101;102;103;104;105;107
201278,105
201279,102;110;112
201286,102;103;104;105;110
201288,101;103;104;105;109;110;112;116;117
201291,111
201295,101;102;108
201315,101;102;103;104;105;106;112
201326,101;105;107
201334,101;105
201337,101
201345,101;102;103;105
201370,103;104;105
201371,105
201372,101;102;105
201402,108
201403,101;105
201407,102;109
201408,105
201413,108
201418,101;102;105;110;116
201424,101
201441,105
201443,105
201450,101;105
201451,101;105
201468,101
201469,105;108
201470,110;113;116
201476,105;107;113
201481,103
201483,103
201494,102;104;105
201495,101;102;103;104;105
201496,101;107;112
201508,103;105
201510,101
201515,101;102;105
201518,101
201522,108
201528,101;102;103;104;105
201534,108
201549,101;102;103;105
201552,102;103;104;105;110
201560,102;105;110
201569,104;105
201580,101
201584,101;104;105;117
201589,101;102;103;104;105;109;110;112
201593,105
201603,103;104;105
201609,105
201614,101;103
201617,101;105
201622,101;105
201623,101;102;103;104;105
201632,101;103
201635,101;117
201645,102;103;104;105;106;107;108;112;113;115
201662,101;113
201664,101
201665,101;103;105;110
201668,101
201680,103;104
201683,101;102;104;105;108
201685,105
201686,101
201716,108
201719,102
201723,105;108
201746,101;102;103;104;105
201759,101
201762,101
201765,105;112
201774,101;108
201775,101;108
201782,101;102;103;104;105;106
201789,102;105
201790,101;105
201794,103;104
201795,101;105;117
201797,101;102
201805,101;108;112;113
201808,102
201818,109
201845,109;112;113
201855,101
201880,102;105
201885,101;102;103;104;105
201887,101;103;117
201892,102;103;105;108;117
201894,101
201898,108
201905,101
201927,101;102;103;105
201929,102;109;112
201931,103;105
201942,101
201951,101
201953,102;105;110
201959,108
201971,108
201975,101;106
201989,105
201994,105;117
201995,105
202005,101
202009,101;109
202014,109;112
202026,109;112
202027,101
202033,102;105;107
202043,101
202053,101;105;110;111;112;113
202054,101;103;105
202062,105
202079,105
202094,101;102;103;105
202100,101;108
202103,101;102;105;109;110
202110,105;107
202116,101;102;107
202118,101;102;105
202120,105;107
202132,101;105;113;117
202134,101;105
202137,105
202149,105
202150,105
202161,101
202162,105
202163,104;105
202175,102;105
202188,102;103;105
202192,101;105
202193,105
202194,108
202198,105
202211,101
202212,101
202226,105
202227,101
202235,101
202240,105
202241,108
202242,108
202250,101
202257,101;102;103;104;105;107;110
202260,102;103;104;105
202263,102;103;104;105;110
202268,103
202277,101
202286,101;102;103;105;110;112;116;117
202288,105;107
202295,105;112
202314,102;103
202339,101;108;110;112
202343,103;104;105
202350,101
202352,105
202356,108
202366,105
202368,105
202370,105
202374,102;103;104;105;107;108;110;111
202377,101
202378,101;102;103;104;105;108;109;110;112
202388,101;102;105
202397,111
202399,102;111
202400,107
202405,101
202413,102;105
202429,101;103;105
202442,105;112
202443,101;105;117
202446,105
202456,105;107;108
202468,101;102;105;108
202470,105
202478,101
202479,101;105;110
202480,101;105;110
202481,105;113
202485,101;105;110
202494,105
202496,101
202497,105
202500,103;108
202502,101;105;107
202511,101;102;105;108;109
202515,105
202536,101
202540,101;103;107
202541,101;102;104;105;112
202542,101
202554,101;105
202556,102;108
202566,101;105
202567,101;105
202577,101;113
202587,104
202605,104;105
202609,105;107
202618,101
202620,101;102;103;108;109;110;117
202634,101;105;107
202638,101;103;104;105;112;113
202642,105
202652,102;105;106;108
202655,105
202683,102
202686,101;102;103;104;105;107;108;109;110;111;112;113;114;115;116;117
202704,102;104
202707,105
202709,105;107;112
202711,105;107
202729,101;102
202735,101
202741,105
202742,101;105
202744,101;102;103;105
202747,101
202750,105
202762,105
202770,105
202774,101;102
202782,101;112
202784,101;103;105;108;117
202791,105;112
202801,101;102;103;104;105;107;109;110
202806,105
202812,101
202824,101;102;103;104;105;106;113
202826,101
202831,101;102;103;104;105;107;109;110
202835,102;103;105
202843,107
202845,105
202846,101;104;110
202851,108
202862,101;117
202871,102;103;104;105
202883,101
202886,103
202891,101;105
202895,101;103;104;105
202915,101;102;105
202918,105;106;115
202930,101;103;104;105;107
202932,105
202939,102;105;108
202949,101;102;105
202957,101
202959,105
202966,101;103;104;108;109;111;112
202973,101;105;107
202981,102;105
202984,102;105
202987,105
203006,101;102;105
203023,101;102;105
203034,102;110;117
203044,102;103;104;117
203063,101;102;105
203065,103
203086,101;103;104;105
203088,101;105;113
203092,101
203113,105
203128,102;103;104;105
203140,107
203142,101
203154,108
203156,101;105
203164,105
203169,112
203170,101
203192,102;103;104;105;110
203212,105
203213,103;104;105
203215,101
203217,101;105;107
203222,101;102;103;104;105;107
203235,102;113
203239,105
203240,101;102;103;104;105
203243,102;116
203247,105
203258,102
203262,108
203263,101
203264,101
203266,101;103
203267,101;105
203269,102;105;108
203275,101
203304,108
203307,102;109;110;113
203331,101;102;104;105
203335,101;102;103;104;105;107;108;109;110;111;112;113;114;115;116;117
203339,101;102;103;104;105
203344,102
203350,101
203353,105
203356,105
203367,102;103;104;105
203373,103
203380,101;102;103;104;105;108;113
203390,102
203393,102;103;105
203395,105;107
203399,105;107
203403,101;105
203405,101
203410,101;105
203423,101;112
203428,104;108
203431,108;109
203433,102;112
203438,104;108
203439,101
203443,105
203447,105
203456,101
203469,108
203475,108
203480,108
203484,108
203515,101
203518,108
203521,102;103
203523,105;108
203524,114
203527,105;108
203535,102;105
203536,101;102;105;112
203538,105;107
203544,101;107
203556,101
203564,101
203566,103
203574,101;104
203578,101
203586,101;105
203590,102;105
203592,101;102;103;104;105
203598,102;108
203604,101;103;104;105;112;113
203610,108;112
203611,108
203612,112
203613,105;108
203614,105
203620,108
203622,103;105
203632,101
203633,101
203635,101;108;117
203638,101
203640,108
203641,101
203646,101
203659,101;102;104;105;108
203669,103;104
203671,101;102;105
203686,103;104;105
203688,101
203689,108
203691,101;105;117
203731,113
203738,105
203740,108
203742,105
203743,105
203747,108
203751,101;105;107;117
203763,101;107
203765,110;113
203766,101
203767,102;103;104;105
203782,103
203784,108
203785,105
203792,101;105
203795,101;102;103;104;105;107
203814,101;108
203821,101;105
203822,101
203827,102;105;108;116
203835,105
203847,105
203850,101
203852,108
203858,101
203876,101
203877,102;105
203882,101;105
203886,108
203894,102;105
203896,102;105
203900,101;102;103;105;108;110
203902,105
203919,101
203933,103;104;105
203938,101;102;103;105
203939,108
203943,103;104;105;107
203953,101
203954,101
203967,105
203970,101;102;105
203972,101
203991,101;110
203993,105
203994,105
204000,102;103;104;105;110
204011,108;117
204016,102;105
204018,101;108
204019,101
204031,102;103;104;105;107
204042,105;112
204048,105
204053,101;102;103;104;105
204065,101;105
204067,108;112
204070,108
204097,101;105
204118,102;105;107
204122,101;105;113
204153,117
204185,101
204187,105
204192,103;104
204194,101;103;105
204216,101;104;110
204219,103;104
204221,101;102;110
204222,105
204225,105
204235,108
204248,101;102;103;104;105
204252,101
204264,105
204267,108
204274,105;107
204284,101;105
204286,101;105
204294,101;116
204298,103
204311,102;105
204331,101;102;105;108;110;112;113;117
204333,101;105
204344,101;102;105
204345,101;105;113
204349,101
204354,101
204358,112
204368,101
204378,101;102;105
204385,105;108
204411,105;108
204412,101
204413,105
204415,105
204424,105;107;110
204435,101;105
204441,103
204463,101
204476,101;103;104;105
204490,105
204499,102;108;113
204506,101;102;103;105
204515,101;103;104
204528,103;104;105
204530,101;102;110
204536,101;102;104;105;108;109;110;113;116
204546,101;102;103;104;105
204547,101;103;105
204555,101;105
204576,108
204578,101;102;108;109;110
204581,103;104;105;117
204586,102;105;108;116;117
204588,101
204597,101;102;103;104;105
204598,103
204599,104;105;110
204640,102;105;107
204658,108;112
204660,103
204662,108
204666,102;108
204670,102;105;108;112
204671,102
204672,102;117
204675,101;102;103;104;105;107;108
204678,108
204682,105
204684,105;107
204685,101;102
204693,101
204701,103;105
204712,102;103;104;105;112
204715,101
204721,102;110
204740,101;102;105;108;110
204749,101
204751,105
204771,101
204785,101;105;112
204791,109
204800,102;112
204806,102;103;105;108
204815,102;108
204829,101;103;105
204834,105
204843,101;105
204844,101
204846,103;105;107
204849,113
204857,105
204862,112
204864,101;103;104;105;110;113
204867,102;103;104;105
204875,105
204889,105
204932,105
204938,108
204956,102;105
204958,101;102;105;108;113
204963,105;107;117
204971,101;105;108
204972,101;102;105
204983,101;102;103;104;105
204984,101
205015,108
205018,108
205019,105
205029,102
205031,105
205043,105
205052,101
205082,108
205089,109;110;113
205091,102;105
205112,102;105;107
205115,101
205116,101;105
205117,112
205121,103;104;105
205123,105
205126,101;111
205133,103
205136,105;108
205156,102;111
205163,101
205178,105;109;110
205194,101;108;112
205198,101
205223,101;102;108;109;110
205241,103;105
205242,101;102;107;108
205245,112
205250,101
205261,101;105
205272,101;102;109;110;112;113
205274,101;103;104;105
205276,101;102;103;104;105;109;110;112
205281,105;113
205282,101
205289,105
205290,101
205299,105;107
205302,102;105
205305,108
205306,108
205307,108
205316,101
205317,105
205320,102;105;108
205327,101;102;103;104;105
205355,105
205357,108
205360,101;102;105
205375,101
205395,102;103;104
205396,105;108
205397,105;110;116
205399,103;104;107
205400,105
205433,117
205467,101
205468,101;105
205472,105
205495,101;106
205508,101
205513,101;117
205527,101;102;103;104;105;107;110
205529,101
205536,101;103;104;105
205563,101
205572,102;105
205585,108
205588,102;110;112
205592,101;102;105
205596,101
205611,103;104
205623,105
205629,105;113;115
205654,101;108;110
205666,102;109;111;112;116
205676,105
205677,101;105;106
205685,102;103;104;105;106;109;112
205704,105
205716,101
205773,102;112
205774,102;105
205776,105
205777,103;104;105
205784,101;104;105;110;112;116
205792,101;103;105
205793,103;105
205797,101;105;107
205798,105
205800,101;102;106;108
205801,101
205802,103
205813,103;104;105
205817,101
205826,101;105;108
205830,101
205832,101;102;103;108
205853,101
205856,101;102;104;105;107;113;116
205862,105
205873,108
205879,105
205896,105
205900,104
205922,101
205935,108
205940,101;105;110
205943,105
205959,103;104;105;108
205967,101
205983,101;117
205986,105
205992,103
206003,101
206007,101;108
206023,101;104;109;112;117
206040,101;107
206047,105
206057,108
206062,102;109
206067,105
206077,102;109;112
206081,108;109
206084,102;112
206088,103;104;105;108
206090,110
206095,102;105;112
206096,108
206107,101;105
206108,102;103;104;105
206113,101
206117,108
206121,102
206123,102
206129,101
206136,105;107
206142,101;102;104;109;110;112;116
206150,105
206152,101;104;105
206173,101;103;104;105
206189,105;108
206199,101
206201,102;113
206225,101;103;104;105;107;109;110;112
206228,102;112
206229,102;105
206233,101;108
206239,102;103;104;105
206247,105
206248,102;105
206249,105;107
206252,102
206260,101
206261,101;103
206271,102;103
206273,103;105
206278,101;102;104;105;110
206283,101;105;106;108
206294,101;105;112;116
206313,101
206316,101;102;103;105;108;109
206319,101;102;103;106;109;113
206320,101
206321,101
206325,101
206326,101
206328,101
206329,101
206330,101
206338,102;103;104;105
206339,104;105
206356,101
206373,101;102;103;104;105;108;110;112
206377,101;102;105
206388,101;103;105;106
206391,101;102;105;106;112;113
206397,101;105
206404,104
206425,102;103;106;108;110;113
206426,101;102;105;112
206431,105
206445,101;103;104;111
206447,103
206450,101;102;109
206462,103;104;105
206471,112
206472,101
206474,101;102;103;104;105;110
206476,101;102;103;104;112;113;116
206478,104
206480,101
206487,101;112
206495,102;103;104;109;112
206496,101;105
206497,105
206513,105;107
206528,101;105
206539,112
206550,105;108;113
206552,104;105;112;114
206558,105
206565,102;108
206579,101;102;103;104;105;109;110;111;112;117
206582,107
206593,101;105
206596,101
206601,101;102;105
206602,109;112;117
206606,101;102
206616,102;105
206620,104
206621,105;107
206623,102
206624,101
206639,108
206641,101;102;103;105
206647,101;102;103;104;105
206651,101;105;107
206658,102;111
206668,102;105;108
206672,101;105
206674,101
206677,104
206681,101;102;103;104;105
206691,105
206696,117
206701,102;104;105
206726,102;103
206735,101
206740,101
206743,102;103;104;105;107;108
206745,101;105;107
206746,101;108
206754,102;107
206756,101;102;105;113
206767,105;107
206768,101;103;104;105
206770,105
206771,101;108;109
206772,101;102;103;104
206773,108
206774,111
206778,101;103;112
206780,102;108
206817,101;102;105;117
206838,101;102;103;105;107
206845,105
206866,101
206873,101;102;105;110
206879,101
206882,102;113
206884,103;104;105
206888,102;109
206900,101;102;104;105;107;110;113;116
206903,101
206912,105
206913,101;102;103;104;109;110;113;114
206915,101;105
206916,108;112
206923,101;102;106
206924,101
206925,103
206926,101;102;103;104;105;106;108;109;112;113
206929,105
206936,103;104
206957,102;108;109;112
206967,105
206971,101
206982,105
206985,108
206999,105
207000,101;105
207007,102;104
207010,101;105
207018,101
207021,109
207027,102;105
207031,102;105;113
207040,101;102;103;104;105;107;117
207043,102;117
207046,103;105
207071,101
207076,102;111;112
207078,101;105;107
207080,101;102;103;104
207081,101;104;105;107
207087,101;102;103;105
207088,108
207094,101;102;103;105
207095,101;102;103;105
207096,117
207100,101;112
207101,108
207102,102;103;105;108;113;115
207108,105;107;109;112;113
207109,108;117
207110,101;102;103;107;112;113
207120,101;102;103;105
207128,101;102;103;104;105;107
207151,103;105
207166,101
207167,105;107
207173,105
207176,102
207180,101;102;104;105
207181,101;102;104;105;110;116
207191,102;108;109;116
207196,102;105;108;116
207213,102;103;107
207232,101;102;104;105;106;113
207237,102;109;112
207238,112
207240,101;105;113
207254,101
207255,101
207259,101;105;107
207260,108
207267,101;103;104;107;110;113
207272,104;105
207279,101
207280,101
207285,101;105;108
207286,101;105;107
207294,101;102;103;104;105;113
207301,112
207305,101;102;103;104;105;108;109;110;112;113;116
207311,102;103;105
207312,102
207315,108;117
207318,107;114
207324,109
207328,103
207330,101;117
207342,101;102
207352,101
207362,105
207366,103;104;105
207368,101;102;103;106;109;110;112
207370,104
207372,102
207374,101;104;105;106
207379,105
207381,104
207384,103;104
207386,104
207392,101
207400,104;117
207401,102;103;113
207408,103
207411,103;104
207414,108
207415,105;108
207417,101
207420,101;102;103;105;116
207428,101;102;104;107;109;110;112;113
207431,101
207438,112
207451,101;102;105
207461,101;105
207471,102;105;115
207478,101;102;112
207481,101
207482,105
207484,101
207488,101;102;105;108;110;113
207494,105
207499,101;105
207529,102
207530,102;103
207531,102;103;104;105
207543,101
207544,102;103;104;105;106;113
207570,102
207574,105
207578,101;113
207586,103
207592,104;105
207603,108
207605,102;103;104;105
207608,102;110
207610,101;105
207619,102;111;112
207620,101
207643,103;104
207655,101
207656,105;117
207658,101;107;110;117
207664,101;103;105;106;107
207666,103
207680,105
207682,103;113
207686,101;102;108
207711,103
207714,102
207720,104
207722,105
207723,102;108
207727,103;104;105
207734,101
207736,103;105
207743,101;106;111;112;113
207747,101;110
207772,101;102;103;104;105;107;108;113
207773,103;104;105;107
207774,105
207779,101;102;110
207780,101
207781,101;105
207783,103
207787,101
207789,102;112
207791,108
207799,101;105
207805,101;105;107
207818,102;103;105
207821,101;103;105;108
207822,101;102;106;108
207840,101;102;105;107;110;113
207859,101;103;105
207861,101;102;103;104;105
207863,101;103;104;105;106;107;108;110;111;112
207864,101
207872,101;105
207881,101;102;104;105;113
207886,103
207890,101;102;109
207896,102;104;105;108
207897,101;103;104;105;107
207898,102;105;106;113
207909,101;102;105;109;112;116
207918,105
207938,104;105;107
207941,105
207948,101;103;105;109;110;116;117
207956,107;108
207958,102;103;105;109
207961,101
207963,105
207964,105
207989,101
207996,102;111
207997,101;102;103;105;106;108;109
208002,102;106;109
208006,101;112;113
208007,108
208008,102;105;108
208010,101;102;103;104;105;108
208013,101;102;105;108
208020,103
208028,101;102;103;104;105;107;109;110;113;116;117
208046,105;107
208053,105
208063,101
208068,104
208069,101;104
208070,103
208075,101;102;108
208076,105;107
208079,102;108
208091,101;103;104;105
208105,101;102;103;104;105
208124,103;105
208135,101;102;108;110
208155,102;105;108;113
208180,101;102;103;105
208186,105
208187,105
208190,105
208205,102;112
208211,103;104;105
208214,105;108
208220,101;102;103;106
208222,102;112
208224,101
208241,103
208249,105
208258,102;105;112
208265,105
208291,103
208301,104;105
208308,101;103;104;105
208309,101;102;103;105;106;108;109;112
208312,103;104;105
208313,101;104;105;117
208316,103;104
208327,101;102;104;110
208337,105;108
208338,108
208340,102;105;108
208344,101;105;110;116
208360,101;103;104
208370,108
208371,109
208386,103;105
208389,112
208391,101
208394,101;103;109;117
208395,103
208403,108;112
208410,108;112
208413,101;104;110
208421,101;103;104
208432,101
208439,105
208443,102;105;109;110;111;114
208449,101
208455,101
208459,101;102;104;105;107
208465,101;102;105
208476,105
208483,101;105
208491,101;103;104;108;113
208493,111
208494,101
208496,101
208501,101
208505,101;104;107;108;109;112
208506,105;110
208511,108
208513,101;105;110;112
208514,101;102;103;104;105
208523,102;105
208528,105;117
208530,106;111;112
208540,104
208554,101;102;103;117
208560,105
208561,101;102;103;104;109;110;112;114
208563,101;105
208575,101;102;103;104
208584,112
208594,102;105
208617,104
208631,105
208632,101
208638,101;105
208658,102;109
208661,103;105
208666,105
208669,101;102;109;110;112
208677,108
208701,102;103;104
208705,102;105;110
208708,103;116
208714,104;106;108
208716,101
208717,101;102;104;108
208724,105;106;115
208732,105;108
208734,102;111;112
208736,101;102;105;108
208741,102;103;104;105;106;107
208743,109
208752,110;112
208756,101;103;105;107;116
208758,101
208760,102;103;104;107;116;117
208764,103
208774,103
208777,101
208780,101;103;105;108
208785,105;117
208787,103;105
208791,102;109;112
208797,108;112
208798,103;104;105
208804,101
208866,101;102;103;104;105;106
208867,102;105;108
208869,101
208877,101
208882,101;102;105;107
208883,101
208889,101;105
208895,103
208896,101;102;105;107
208898,102;105
208899,105
208928,108;113
208935,101;102;103;104;106
208941,102;105
208947,101;105;108;117
208969,101;108
208973,105
208978,101;105
208979,105
208982,101;102;103;104;105;113
208992,101;105
208999,105
209000,101
209010,101
209011,101;102;103;104;105;113
209012,102;103;104;105;110
209014,101
209015,102;103;105;106;111;112;113
209020,101;104;105
209023,105
209033,102
209034,105
209058,102;103;104;105;108
209065,104;108
209066,102;108;115
209084,101;102;105;107;108;115
209090,107
209102,102;103;104;105;113
209115,105
209119,105
209122,101;104;108;113
209123,101;104;105;107;109;110;113
209126,105
209128,101;102;103;104;105;109;112;113
209131,102;106;109;117
209132,108
209135,101;105
209138,102;105;106;108;109;112;115;116
209139,108
209145,102;103;104;105;106;108;113
209155,101;105
209168,102;103;104;105;108
209169,101;103
209174,109
209175,103;104;110
209188,105;117
209193,111
209195,105;107
209201,103
209203,101;112
209210,108
209212,102;109;112
209241,101;105
209242,101;102;103
209246,102;108;109;112
209249,101;105
209250,104
209258,102;103;105;106
209259,101;104
209266,102;103;104;105
209300,108;115
209310,101;103;105
209322,102;103;104;107;112
209326,102;105
209339,105;107
209355,102;105
209358,103;104
209373,108
209397,101
209400,110
209407,102;111;112
209409,108
209418,105
209420,108;112
209421,103;108
209423,101;102;103;104;105;108;110
209424,101;105
209429,103;104;117
209445,101
209448,108
209456,112
209464,105
209474,101;108
209477,101
209489,103;113;117
209501,101;102
209510,101
209517,101;105
209523,101
209526,103;104;112;114
209530,101
209534,104;105
209540,101;111;112;113
209555,108
209563,111
209567,101;102;103;104;105
209568,105
209581,105
209587,108
209603,101;102;103;109
209613,101;103
209616,117
209618,101
209623,101;105
209626,101;102;105;116;117
209635,105
209659,105;108
209660,105
209661,105
209662,105
209663,105
209664,105
209666,105
209668,103;104
209669,101;105
209671,101
209672,105;112
209677,109;112
209683,105;108
209690,101
209691,101;102;103;109;111
209693,105;108
209694,101;107;108
209704,109;117
209707,101
209731,103
209748,101;102;108
209760,101;105;108
209762,101
209763,101
209778,101
209790,101
209792,102;104;105;113
209799,101
209811,103;104;105
209812,101;102;103;104;105;106;107
209818,101;102;103;104;105;108;109;113;115
209843,105
209844,105
209852,102;105;113
209858,101;105
209861,105
209890,101;105;108
209891,105;108
209894,101;102;103;105
209900,101;103;104
209913,102;105
209919,103;107
209923,101
209924,108
209931,103;112
209935,117
209940,102;105;108
209944,101;102;104;105
209946,101;102;103;104;105;110
209954,101
209955,105
209956,101
209959,103
209961,102;109;111;112;113
209962,102;103;104
209971,101;105;113
209974,101
209981,101;104
209985,101;103;106;108
209991,108
209992,102;105;108
209994,101;102;103;104;111;112
209998,105
210003,101;104;105;107;108;113
210007,101;103;104;105;107;108;113
210009,101
210012,102;103;104
210018,101
210031,102
210036,101;105
210037,101;108;112;115;117
210040,102;103;113
210041,105
210042,103
210048,108
210052,102;104;109
210066,103;112
210069,101;104
210076,101;102;103;104;105;107;116
210077,105
210085,101;103;105;106
210089,101
210098,103
210101,103;104;105
210107,101;103;105
210110,105
210124,103;104
210138,105
210144,102;103;104
210145,101;104;105;107
210154,101;105;107
210161,102;109
210165,101
210173,101;102;104;105
210177,102;105
210183,102;103;109
210195,103
210199,103;104
210202,102;105;117
210222,103;104;107;116
210224,102;103;104;105
210250,101;102;103;104;105;109;110;112
210252,102
210261,101;105;107
210274,108
210290,102
210291,105;107
210313,101
210314,101;103;104;105
210330,106;112;113
210361,101
210362,105
210371,101;105;108;113
210381,101;105
210387,109
210391,102;103;104
210395,111
210400,103;104
210403,106
210405,101
210408,101;107
210410,105
210416,101;102;103;104;105;106
210446,112
210449,105
210456,101
210458,105;117
210464,105
210466,103;104;105
210470,102;105;108
210473,101
210481,101;102;103
210482,101;102;105
210490,101;116
210492,101
210496,101
210500,102;104
210503,105;106;108
210505,102;103
210506,101;103;104;105
210533,101
210539,105
210551,101;103;105;112;113
210553,101
210554,101;102;105;110
210561,101
210563,105;106
210579,101;105;117
210581,101;102;104;105;110
210586,103;104;105
210595,101;105
210597,105;107
210604,101
210616,101;103;104;105;107
210618,105
210629,101;105
210630,101;105
210635,111
210638,102;110;114
210644,102;109;112
210648,101;102;104;105;113;117
210650,101
210680,101;102;103;104;105;106;107;109;112;117
210684,101;105
210685,105;108
210686,101
210693,101
210694,108
210710,101
210714,101
210731,101
210737,101;103;104;105
210763,117
210764,109
210770,103;106
210773,102;105
210797,101;105
210815,102
210821,105
210829,114
210830,101;103;105;106;117
210842,108
210844,101;103;104;105;107;111
210859,101;105
210864,105
210875,101;102;103;104;105
210894,101;102
210914,101;104;107
210928,103;104
210931,105
210932,103;105
210939,103;104;105
210946,101;102;104;105
210948,101;102;104;105;107
210955,108
210957,101;103;105
210958,105
210961,105
210975,103;104
210977,103;104;105;107
210980,101
210987,105;108
210990,101;108;117
210992,101;102;105
210999,102;104;105
211002,108
211004,108
211011,101
211014,102
211015,101;102;103;104
211019,101
211020,101;108
211021,105
211026,108
211029,103
211034,101;105;113
211035,101;102;103;104;105
211039,101
211053,101;105;107;108
211057,101
211064,101;105
211068,108;112
211079,101;105;108
211083,103;107
211090,101;105;108
211093,102;105;108
211094,102;103;105
211095,101;105
211103,105
211109,101;108;112
211117,105
211118,117
211123,101
211125,108
211132,101;105
211142,101;105
211158,102;105
211169,102;113;115
211171,101;105
211172,101;103;105;107
211184,101;105
211190,101;112
211200,101;102;108
211221,105
211224,103
211227,103;104;105
211231,106
211236,108;112
211241,105
211245,102;117
211246,102;109
211253,112
211258,101
211269,101;105
211277,108
211284,103;104;105
211305,108
211309,101
211317,101;102;103;104;105;110;116;117
211320,105
211336,101
211341,108
211343,101;104
211366,104;105
211372,101
211376,108
211385,101;103;104;105
211399,101;105
211409,108
211415,105
211426,101;116
211434,101
211447,108;112
211448,108
211450,101;103
211451,101;105
211452,105
211456,101;108
211461,101
211462,101;105
211470,101
211472,102;111
211475,101;105;108
211513,101
211515,101;102;109
211522,101
211524,101;102;106;109;110;112;113;117
211526,105
211528,105
211533,102;103;104;105;106;108;109;110;111;112
211534,104;105
211547,105
211548,102;105;106
211554,105
211560,101
211583,101;102;103;104;105
211585,102;103;107;109;117
211588,101;104;105;111;113
211595,103
211612,101
211619,109
211624,101;105;110
211625,108
211632,102
211641,107
211645,101
211659,102;109;112;113
211660,102;109
211665,105;112;113
211668,105;108
211669,102;105;108
211680,103;105
211689,101;108
211696,101;103;104;105
211708,102;104
211715,104
211718,101;105
211736,101;103;104;105
211755,101;102;103;107
211756,101;105
211763,101;102;105
211768,105
211770,101
211772,103;104;105
211775,102;109;112;113
211790,105
211811,101;103;105
211815,101
211830,101
211833,101;103;105
211843,108;112
211848,109;112
211858,105
211859,108;112
211860,103;104
211865,101;103;104;105;112;116
211869,102;105;107;112;117
211884,101;102;104;105;106;107;108
211887,103;104;105
211895,105;108;112
211904,105
211941,102;103;104;105;108
211945,101
211970,103;105;109;110
211973,101;103;104;105
211974,112
211975,108
211980,105
212006,108
212025,102;110;111;112;116;117
212027,108
212038,101
212039,102;104
212044,105
212048,101;103;104;105
212056,102;112
212067,108
212071,107
212073,101;104;105
212090,101
212100,101;102;108
212112,101
212117,105;107
212119,101
212120,103;105
212121,101;105
212123,101
212127,101;108
212131,101
212141,101
212143,101;108
212148,101
212149,101
212159,104;105
212164,102;105;108
212165,101;102;107
212170,101;102;103;104;105;106;108
212173,101
212178,105
212189,104
212194,101
212195,101
212196,101
212198,101
212206,101;102;103;104;105;109;113
